Consistency Check Warnings (Real Issues + Faulty Data)
============================================================

• [RSI Mean Reversion Selective] ⚠️  REAL ISSUES: Detected 138 suspicious price jumps > 15% (possible missing corporate actions)
•   Trade #83 (AFRM) @ 2026-05-07 23:50:00: +448.88% ($12.14 → $66.63) [synthetic_jump]
•   Trade #85 (MDB) @ 2026-05-07 23:50:00: +350.81% ($64.00 → $288.52) [synthetic_jump]
•   Trade #87 (CCI) @ 2026-05-07 23:50:00: -64.82% ($258.88 → $91.07) [synthetic_jump]
•   Trade #88 (PFE) @ 2026-05-07 23:50:00: -70.91% ($91.07 → $26.50) [synthetic_jump]
•   Trade #89 (PINS) @ 2026-05-07 23:50:00: -19.24% ($26.50 → $21.40) [synthetic_jump]
•   Trade #90 (CVNA) @ 2026-05-07 23:50:00: +1760.09% ($21.40 → $398.02) [synthetic_jump]
•   Trade #92 (BBAI) @ 2026-05-07 23:50:00: -98.83% ($354.34 → $4.14) [synthetic_jump]
•   Trade #93 (RBLX) @ 2026-05-07 23:50:00: +977.74% ($4.14 → $44.58) [synthetic_jump]
•   Trade #95 (NVO) @ 2026-05-07 23:50:00: -43.30% ($79.97 → $45.35) [synthetic_jump]
•   Trade #96 (UPST) @ 2026-05-07 23:50:00: -36.37% ($45.35 → $28.85) [synthetic_jump]
•   Trade #97 (NET) @ 2026-05-07 23:50:00: +624.01% ($28.85 → $208.91) [synthetic_jump]
•   Trade #98 (LYB) @ 2026-05-07 23:50:00: -65.30% ($208.91 → $72.50) [synthetic_jump]
•   Trade #99 (INTC) @ 2026-05-07 23:50:00: +49.18% ($72.50 → $108.15) [synthetic_jump]
•   Trade #100 (BA) @ 2026-05-07 23:50:00: +113.31% ($108.15 → $230.70) [synthetic_jump]
•   Trade #101 (EL) @ 2026-05-07 23:50:00: -63.24% ($230.70 → $84.81) [synthetic_jump]
•   Trade #102 (EDIT) @ 2026-05-07 23:50:00: -96.49% ($84.81 → $2.98) [synthetic_jump]
•   Trade #103 (RIOT) @ 2026-05-07 23:50:00: +695.08% ($2.98 → $23.69) [synthetic_jump]
• [Smart RSI Confluence] 📊 FAULTY DATA: 3 single-tick anomalies (no trading should occur on these bars)
•   Trade #1 (GILD) @ 2026-02-02 10:41:00: +365.12% ($30.52 → $141.96) [first_trade_artifact]
•   Trade #54 (MU) @ 2026-05-07 23:50:00: +387.75% ($132.02 → $643.93) [data_tick_anomaly | synthetic_jump]
•   Trade #94 (OKTA) @ 2026-05-07 23:50:00: +79.39% ($44.58 → $79.97) [data_tick_anomaly | synthetic_jump]

============================================================
Bars with faulty data (trades should be reverted):
============================================================

